1 BHK Flat,2 BHK Flat,3 BHK Flat,50 sq.yd Plot,55 sq.yd Plot,58 sq.yd Plot,60 sq.yd Plot,70 sq.yd Plot,83 sq.yd Plot,90 sq.yd Plot,92 sq.yd Plot,100 sq.yd Plot,105 sq.yd Plot,128 sq.yd Plot,133 sq.yd Plot,135 sq.yd Plot,143 sq.yd Plot,145 sq.yd Plot,150 sq.yd Plot,200 sq.yd Plot,450 sq.ft Plot,477 sq.ft Plot,630 sq.ft Plot,675 sq.ft Plot,693 sq.ft Plot,900 sq.ft Plot,1188 sq.ft Plot,1215 sq.ft Plot,1251 sq.ft Plot,1269 sq.ft Plot,1323 sq.ft Plot,1332 sq.ft Plot,1350 sq.ft Plot,1395 sq.ft Plot,1449 sq.ft Plot,1485 sq.ft Plot,1611 sq.ft Plot,1800 sq.ft Plot,2205 sq.ft Plot,4680 sq.ft Plot,Studio Apartment,property_title,avg_price,possession,seller_label,seller_subtitle,project,single_price,builtup_area
NA,NA,NA,₹13 L,NA,NA,NA,NA,NA,NA,NA,₹26 L,NA,NA,NA,NA,NA,NA,₹39 L,₹52 L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Residential Plots  in New Palam Vihar Phase 1, Sector 110",₹2.89k/sq.yd,NA,NA,NA,RBSM Colony Part 1,NA,NA
₹11.25 L - 20.25 L,₹24.75 L - 42.75 L,NA,₹13 L,NA,NA,NA,NA,NA,NA,NA,₹26 L,NA,NA,NA,NA,NA,NA,₹39 L,₹52 L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2 BHK Flats  in Sector 25, DLF Phase 2",₹4.5 K/sq.ft,NA,NA,NA,DLF Chisholm Apartments,NA,NA
₹11.25 L - 20.25 L,₹24.75 L - 42.75 L,NA,₹13 L,NA,NA,NA,NA,NA,NA,NA,₹26 L,NA,NA,NA,NA,NA,NA,₹39 L,₹52 L,₹3.5 L,NA,NA,₹5.24 L,NA,₹6.99 L,NA,NA,₹9.72 L,NA,₹10.28 L,NA,NA,NA,NA,NA,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,NA,Residential Plots  in Rajoria Nagar,₹777.0/sq.ft,NA,NA,NA,SDH Rose City,NA,NA
₹14.66 L - 14.7 L,₹21.24 L - 21.26 L,₹27.48 L - 27.54 L,₹13 L,NA,NA,NA,NA,NA,NA,NA,₹26 L,NA,NA,NA,NA,NA,NA,₹39 L,₹52 L,₹3.5 L,NA,NA,₹5.24 L,NA,₹6.99 L,NA,NA,₹9.72 L,NA,₹10.28 L,NA,NA,NA,NA,NA,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,NA,"1, 2, 3 BHK Flats  in Sector 35, Sohna",₹3.02 K - ₹4.5 K/sq.ft,NA,NA,NA,Adore Prosperity Homes,NA,NA
₹13.84 L - 26.4 L,₹21.24 L - 21.26 L,₹26.29 L - 26.4 L,₹13 L,NA,NA,NA,NA,NA,NA,NA,₹26 L,NA,NA,NA,NA,NA,NA,₹39 L,₹52 L,₹3.5 L,NA,NA,₹5.24 L,NA,₹6.99 L,NA,NA,₹9.72 L,NA,₹10.28 L,NA,NA,NA,NA,NA,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,NA,"1, 3 BHK Flats  in Tech Chand Nagar, Sector 104","Dec, 2025",NA,NA,NA,Mahira Homes 104,NA,NA
₹12.96 L,₹21.24 L - 21.26 L,₹25.8 L,₹13 L,NA,NA,NA,NA,NA,NA,NA,₹26 L,NA,NA,NA,NA,NA,NA,₹39 L,₹52 L,₹3.5 L,NA,NA,₹5.24 L,NA,₹6.99 L,NA,NA,₹9.72 L,NA,₹10.28 L,NA,NA,NA,NA,NA,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,NA,"1, 3 BHK Flats  in Sector 63A, Kadarpur",₹4 K/sq.ft,NA,NA,NA,Czar Mahira Homes 63A,NA,NA
₹14.6 L - 15.08 L,₹14.6 L - 25.0 L,₹25.8 L,₹13 L,NA,NA,NA,NA,NA,NA,NA,₹26 L,NA,NA,NA,NA,NA,NA,₹39 L,₹52 L,₹3.5 L,NA,NA,₹5.24 L,NA,₹6.99 L,NA,NA,₹9.72 L,NA,₹10.28 L,NA,NA,NA,NA,NA,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,NA,"1, 2 BHK Flats  in Kadarpur",₹4.09 K/sq.ft,NA,NA,NA,Sunrays Heights,NA,NA
₹14.98 L,₹24.95 L,₹25.8 L,₹13 L,NA,NA,NA,NA,NA,NA,NA,₹26 L,NA,NA,NA,NA,NA,NA,₹39 L,₹52 L,₹3.5 L,NA,NA,₹5.24 L,NA,₹6.99 L,NA,NA,₹9.72 L,NA,₹10.28 L,NA,NA,NA,NA,NA,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,NA,"1, 2 BHK Flats  in Thara",₹2.75 K/sq.ft,NA,NA,NA,Omaxe Europia,NA,NA
₹13.25 L - 16.36 L,₹17.36 L - 24.61 L,₹25.8 L,₹13 L,NA,NA,NA,NA,NA,NA,NA,₹26 L,NA,NA,NA,NA,NA,NA,₹39 L,₹52 L,₹3.5 L,NA,NA,₹5.24 L,NA,₹6.99 L,NA,NA,₹9.72 L,NA,₹10.28 L,NA,NA,NA,NA,NA,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,NA,"1, 2 BHK Flats  in Sector 48",₹3.84 K/sq.ft,NA,NA,NA,Raheja Krishna Housing Scheme,NA,NA
₹12.16 L,₹18.66 L,₹24.4 L,₹13 L,NA,NA,NA,NA,NA,NA,NA,₹26 L,NA,NA,NA,NA,NA,NA,₹39 L,₹52 L,₹3.5 L,NA,NA,₹5.24 L,NA,₹6.99 L,NA,NA,₹9.72 L,NA,₹10.28 L,NA,NA,NA,NA,NA,₹12.52 L,₹13.99 L,₹17.13 L,₹36.36 L,NA,"1, 2, 3 BHK Flats  in South City I, Sector 41",₹3.8 K/sq.ft,NA,NA,NA,Apex Our Homes 2,NA,NA
