post_date,balance
23/03/2026,3910619.00
10/03/2026,3924619.00
10/03/2026,3936763.00
28/02/2026,3958719.00
10/02/2026,3936763.00
10/02/2026,3946490.00
31/01/2026,3970863.00
10/01/2026,3946490.00
10/01/2026,3970696.00
05/01/2026,3980590.00
31/12/2025,3995590.00
10/12/2025,3970696.00
10/12/2025,3980197.00
30/11/2025,4004796.00
10/11/2025,3980197.00
10/11/2025,3988826.00
31/10/2025,4014297.00
10/10/2025,3988826.00
10/10/2025,3998207.00
30/09/2025,4022926.00
16/09/2025,3998207.00
10/09/2025,4001207.00
10/09/2025,4009421.00
31/08/2025,4035307.00
28/08/2025,4009421.00
10/08/2025,4060481.00
10/08/2025,4068602.00
31/07/2025,4094581.00
10/07/2025,4068602.00
10/07/2025,4076722.00
30/06/2025,4102702.00
10/06/2025,4076722.00
10/06/2025,4082980.00
31/05/2025,4110822.00
11/05/2025,4082980.00
10/05/2025,4097980.00
10/05/2025,4104399.00
30/04/2025,4132080.00
30/04/2025,4104399.00
14/04/2025,4134399.00
10/04/2025,4139399.00
10/04/2025,4150399.00
10/04/2025,4155290.00
31/03/2025,4184499.00
28/03/2025,4155290.00
10/03/2025,4159290.00
10/03/2025,4166550.00
28/02/2025,4193390.00
10/02/2025,4166550.00
10/02/2025,4170471.00
31/01/2025,4200650.00
10/01/2025,4170471.00
10/01/2025,4174228.00
31/12/2024,4204571.00
30/12/2024,4174228.00
10/12/2024,4194528.00
10/12/2024,4198595.00
30/11/2024,4228628.00
28/11/2024,4198595.00
10/11/2024,4298595.00
10/11/2024,4301521.00
31/10/2024,4332695.00
10/10/2024,4301521.00
04/10/2024,4335621.00
04/10/2024,4385621.00
30/09/2024,4405621.00
12/09/2024,4374939.00
10/09/2024,4392939.00
10/09/2024,4395226.00
31/08/2024,4427039.00
11/08/2024,4395226.00
10/08/2024,4396526.00
02/08/2024,4430626.00
31/07/2024,4468626.00
14/07/2024,4436511.00
10/07/2024,4441511.00
10/07/2024,4444486.00
30/06/2024,4475611.00
11/06/2024,4444486.00
10/06/2024,4445786.00
10/06/2024,4447703.00
31/05/2024,4479886.00
10/05/2024,4447703.00
10/05/2024,4449003.00
10/05/2024,4451825.00
30/04/2024,4483103.00
10/04/2024,4451825.00
10/04/2024,4485925.00
31/03/2024,4535925.00
16/03/2024,4503272.00
11/03/2024,4514972.00
11/03/2024,4526972.00
10/03/2024,4528172.00
10/03/2024,4531594.00
29/02/2024,4562272.00
11/02/2024,4531594.00
10/02/2024,4532894.00
10/02/2024,4534187.00
31/01/2024,4566994.00
10/01/2024,4534187.00
10/01/2024,4536761.00
10/01/2024,4568287.00
31/12/2023,4569587.00
10/12/2023,4536761.00
10/12/2023,4540357.00
10/12/2023,4570861.00
30/11/2023,4572161.00
11/11/2023,4540357.00
11/11/2023,4556255.00
10/11/2023,4574457.00
31/10/2023,4576457.00
10/10/2023,4543563.00
10/10/2023,4556154.00
10/10/2023,4577663.00
30/09/2023,4588063.00
12/09/2023,4556154.00
10/09/2023,4558954.00
10/09/2023,4560042.00
31/08/2023,4593054.00
10/08/2023,4560042.00
10/08/2023,4571017.00
10/08/2023,4594142.00
31/07/2023,4604142.00
19/07/2023,4571017.00
11/07/2023,4582017.00
11/07/2023,4613885.00
30/06/2023,4616117.00
10/06/2023,4584008.00
10/06/2023,4594263.00
06/06/2023,4618108.00
31/05/2023,4628458.00
11/05/2023,4594263.00
11/05/2023,4582536.03
10/05/2023,4594263.00
10/05/2023,4604292.00
10/05/2023,4628363.00
02/05/2023,4630799.00
01/05/2023,4633299.00
30/04/2023,4639928.00
20/04/2023,4604292.00
17/04/2023,4605782.00
10/04/2023,4740482.00
31/03/2023,4774582.00
17/03/2023,4737281.00
10/03/2023,4738781.00
10/03/2023,4739406.00
28/02/2023,4772881.00
28/02/2023,4739406.00
10/02/2023,4769406.00
10/02/2023,4776420.00
10/02/2023,4803506.00
31/01/2023,4813006.00
10/01/2023,4776420.00
31/12/2022,4810520.00
10/12/2022,4774592.00
10/12/2022,4774664.00
30/11/2022,4808692.00
25/11/2022,4774664.00
25/11/2022,4774764.00
22/11/2022,4780664.00
14/11/2022,4774764.00
14/11/2022,4775235.00
14/11/2022,4775735.00
10/11/2022,4776235.00
31/10/2022,4810335.00
31/10/2022,4775065.00
23/10/2022,4784065.00
18/10/2022,4785565.00
13/10/2022,4788565.00
11/10/2022,4793565.00
11/10/2022,4800000.00
04/10/2022,4827665.00
30/09/2022,4842665.00
12/09/2022,4810358.00
31/08/2022,4844458.00
10/08/2022,4812072.00
10/08/2022,4777972.00
31/07/2022,4812072.00
30/07/2022,4800000.00
28/07/2022,4800118.00
20/07/2022,4800000.00
