SNO,FILENAME,TIME_TAKEN,DB_SIZE,AVG_TIME_TAKEN_PER_FILE,AVG_SPACE_TAKEN_PER_FILE
1,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_1.pdf,1.3304,0.0273,1.3304,0.0273
2,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_10.pdf,1.0663,0.0312,1.1984,0.0156
3,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_100.pdf,1.063,0.0352,1.1532,0.0117
4,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_1000.pdf,1.0645,0.0391,1.131,0.0098
5,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_101.pdf,0.9129,0.043,1.0874,0.0086
6,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_102.pdf,0.8657,0.0469,1.0505,0.0078
7,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_103.pdf,0.9059,0.0508,1.0298,0.0073
8,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_104.pdf,0.8636,0.0547,1.009,0.0068
9,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_105.pdf,0.9149,0.0664,0.9986,0.0074
10,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_106.pdf,0.878,0.0703,0.9865,0.007
11,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_107.pdf,0.9274,0.0742,0.9811,0.0067
12,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_108.pdf,0.8761,0.0781,0.9724,0.0065
13,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_109.pdf,0.8876,0.082,0.9659,0.0063
14,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_11.pdf,0.8484,0.0859,0.9575,0.0061
15,011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2)_copy_110.pdf,0.785,0.0898,0.946,0.006
