SNO,FILENAME,TIME_TAKEN,DB_SIZE,AVG_TIME_TAKEN_PER_FILE,AVG_SPACE_TAKEN_PER_FILE
1,input/20260807_1735/AI Contract test/011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2).pdf,1.4594,0.0742,1.4594,0.0742
2,input/20260807_1735/AI Contract test/011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS.pdf,0.9448,0.0781,1.2021,0.0391
3,input/20260807_1735/AI Contract test/20982 Esec Forte SCTASK7649659_Amendment Agreement (2).pdf,1.4906,0.082,1.2983,0.0273
4,input/20260807_1735/AI Contract test/20982 Esec Forte SCTASK7649659_Amendment Agreement.pdf,1.2874,0.0859,1.2955,0.0215
5,input/20260807_1735/AI Contract test/ALD Automotive AG_MSA (2).pdf,5.1497,0.0898,2.0664,0.018
6,input/20260807_1735/AI Contract test/ALD Automotive AG_MSA.pdf,4.8798,0.0938,2.5353,0.0156
7,input/20260807_1735/AI Contract test/AUTODATA SOLUTIONS INC_SOW (2).pdf,1.6727,0.1016,2.412,0.0145
8,input/20260807_1735/AI Contract test/AUTODATA SOLUTIONS INC_SOW.pdf,1.7017,0.1055,2.3232,0.0132
9,input/20260807_1735/AI Contract test/REVISTO_NDA Publicis Groupe Holdings B.V._(2026) (002).pdf,1.443,0.1094,2.2254,0.0122
10,input/20260807_1735/AI Contract test/REVISTO_NDA Publicis Groupe Holdings B.V._(2027) (002).pdf,1.4505,0.1133,2.1479,0.0113
