SNO,FILENAME,PAGES,TIME_TAKEN_SEC,CHARS_EXTRACTED,OUTPUT_FILE
1,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_11.pdf,5,15.9095,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_11.txt
2,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_110.pdf,5,16.241,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_110.txt
3,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_111.pdf,5,17.3685,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_111.txt
4,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_112.pdf,5,19.7526,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_112.txt
5,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_113.pdf,5,19.5112,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_113.txt
6,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_114.pdf,5,18.9316,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_114.txt
7,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_115.pdf,5,20.1939,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_115.txt
8,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_116.pdf,5,18.871,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_116.txt
9,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_117.pdf,5,20.5866,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_117.txt
10,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_118.pdf,5,21.8916,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_118.txt
11,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_119.pdf,5,21.1333,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_119.txt
12,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_12.pdf,5,19.4234,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_12.txt
13,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_120.pdf,5,19.9253,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_120.txt
14,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_121.pdf,5,19.9605,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_121.txt
15,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_122.pdf,5,21.0699,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_122.txt
16,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_123.pdf,5,21.72,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_123.txt
17,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_124.pdf,5,25.3121,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_124.txt
18,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_125.pdf,5,21.278,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_125.txt
19,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_126.pdf,5,22.9019,12186,20982 Esec Forte SCTASK7649659_Amendment Agreement (2)_copy_126.txt
