SNO,TIMESTAMP_PROCESSED,RELATIVE_PATH_WINDOWS,RELATIVE_PATH_LINUX,OCR_REQUIRED,OCR_DONE,ENCODING_AND_INGESTION_DONE,#_OF_FILE_PROCESSED
1,2026-08-07 17:19:10,input\20260806_1100\AI Contract test\011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2).pdf,input/20260806_1100/AI Contract test/011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2).pdf,NO,NA,NO,1
2,2026-08-07 17:19:10,input\20260806_1100\AI Contract test\011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS.pdf,input/20260806_1100/AI Contract test/011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS.pdf,NO,NA,NO,1
3,2026-08-07 17:19:47,input\20260806_1100\AI Contract test\20982 Esec Forte SCTASK7649659_Amendment Agreement (2).pdf,input/20260806_1100/AI Contract test/20982 Esec Forte SCTASK7649659_Amendment Agreement (2).pdf,YES,YES,NO,1
4,2026-08-07 17:20:15,input\20260806_1100\AI Contract test\20982 Esec Forte SCTASK7649659_Amendment Agreement.pdf,input/20260806_1100/AI Contract test/20982 Esec Forte SCTASK7649659_Amendment Agreement.pdf,YES,YES,NO,1
5,2026-08-07 17:22:27,input\20260806_1100\AI Contract test\ALD Automotive AG_MSA (2).pdf,input/20260806_1100/AI Contract test/ALD Automotive AG_MSA (2).pdf,YES,YES,NO,1
6,2026-08-07 17:24:42,input\20260806_1100\AI Contract test\ALD Automotive AG_MSA.pdf,input/20260806_1100/AI Contract test/ALD Automotive AG_MSA.pdf,YES,YES,NO,1
7,2026-08-07 17:24:43,input\20260806_1100\AI Contract test\AUTODATA SOLUTIONS INC_SOW (2).pdf,input/20260806_1100/AI Contract test/AUTODATA SOLUTIONS INC_SOW (2).pdf,NO,NA,NO,1
8,2026-08-07 17:24:43,input\20260806_1100\AI Contract test\AUTODATA SOLUTIONS INC_SOW.pdf,input/20260806_1100/AI Contract test/AUTODATA SOLUTIONS INC_SOW.pdf,NO,NA,NO,1
9,2026-08-07 17:24:43,input\20260806_1100\AI Contract test\REVISTO_NDA Publicis Groupe Holdings B.V._(2026) (002).pdf,input/20260806_1100/AI Contract test/REVISTO_NDA Publicis Groupe Holdings B.V._(2026) (002).pdf,NO,NA,NO,1
10,2026-08-07 17:24:43,input\20260806_1100\AI Contract test\REVISTO_NDA Publicis Groupe Holdings B.V._(2027) (002).pdf,input/20260806_1100/AI Contract test/REVISTO_NDA Publicis Groupe Holdings B.V._(2027) (002).pdf,NO,NA,NO,1
11,2026-08-07 17:24:57,input\20260806_1100\AI Contract test\011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2).pdf,input/20260806_1100/AI Contract test/011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2).pdf,YES,YES,YES,2
12,2026-08-07 17:24:58,input\20260806_1100\AI Contract test\011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS.pdf,input/20260806_1100/AI Contract test/011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS.pdf,YES,YES,YES,2
13,2026-08-07 17:24:59,input\20260806_1100\AI Contract test\20982 Esec Forte SCTASK7649659_Amendment Agreement (2).pdf,input/20260806_1100/AI Contract test/20982 Esec Forte SCTASK7649659_Amendment Agreement (2).pdf,YES,YES,YES,2
14,2026-08-07 17:25:01,input\20260806_1100\AI Contract test\20982 Esec Forte SCTASK7649659_Amendment Agreement.pdf,input/20260806_1100/AI Contract test/20982 Esec Forte SCTASK7649659_Amendment Agreement.pdf,YES,YES,YES,2
15,2026-08-07 17:25:06,input\20260806_1100\AI Contract test\ALD Automotive AG_MSA (2).pdf,input/20260806_1100/AI Contract test/ALD Automotive AG_MSA (2).pdf,YES,YES,YES,2
16,2026-08-07 17:25:11,input\20260806_1100\AI Contract test\ALD Automotive AG_MSA.pdf,input/20260806_1100/AI Contract test/ALD Automotive AG_MSA.pdf,YES,YES,YES,2
17,2026-08-07 17:25:12,input\20260806_1100\AI Contract test\AUTODATA SOLUTIONS INC_SOW (2).pdf,input/20260806_1100/AI Contract test/AUTODATA SOLUTIONS INC_SOW (2).pdf,YES,YES,YES,2
18,2026-08-07 17:25:14,input\20260806_1100\AI Contract test\AUTODATA SOLUTIONS INC_SOW.pdf,input/20260806_1100/AI Contract test/AUTODATA SOLUTIONS INC_SOW.pdf,YES,YES,YES,2
19,2026-08-07 17:25:15,input\20260806_1100\AI Contract test\REVISTO_NDA Publicis Groupe Holdings B.V._(2026) (002).pdf,input/20260806_1100/AI Contract test/REVISTO_NDA Publicis Groupe Holdings B.V._(2026) (002).pdf,YES,YES,YES,2
20,2026-08-07 17:25:17,input\20260806_1100\AI Contract test\REVISTO_NDA Publicis Groupe Holdings B.V._(2027) (002).pdf,input/20260806_1100/AI Contract test/REVISTO_NDA Publicis Groupe Holdings B.V._(2027) (002).pdf,YES,YES,YES,2
21,2026-08-07 17:39:28,input\20260807_1735\AI Contract test\011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2).pdf,input/20260807_1735/AI Contract test/011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS (2).pdf,NO,NA,NO,1
22,2026-08-07 17:39:28,input\20260807_1735\AI Contract test\011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS.pdf,input/20260807_1735/AI Contract test/011549 Ramco Publicis_Ramco Pte Ltd_Master Services Agreement _18th Nov_RS.pdf,NO,NA,NO,1
23,2026-08-07 17:39:29,input\20260807_1735\AI Contract test\AUTODATA SOLUTIONS INC_SOW (2).pdf,input/20260807_1735/AI Contract test/AUTODATA SOLUTIONS INC_SOW (2).pdf,NO,NA,NO,1
24,2026-08-07 17:39:29,input\20260807_1735\AI Contract test\AUTODATA SOLUTIONS INC_SOW.pdf,input/20260807_1735/AI Contract test/AUTODATA SOLUTIONS INC_SOW.pdf,NO,NA,NO,1
25,2026-08-07 17:39:29,input\20260807_1735\AI Contract test\REVISTO_NDA Publicis Groupe Holdings B.V._(2026) (002).pdf,input/20260807_1735/AI Contract test/REVISTO_NDA Publicis Groupe Holdings B.V._(2026) (002).pdf,NO,NA,NO,1
26,2026-08-07 17:39:29,input\20260807_1735\AI Contract test\REVISTO_NDA Publicis Groupe Holdings B.V._(2027) (002).pdf,input/20260807_1735/AI Contract test/REVISTO_NDA Publicis Groupe Holdings B.V._(2027) (002).pdf,NO,NA,NO,1
27,2026-08-07 17:40:01,input\20260807_1735\AI Contract test\20982 Esec Forte SCTASK7649659_Amendment Agreement (2).pdf,input/20260807_1735/AI Contract test/20982 Esec Forte SCTASK7649659_Amendment Agreement (2).pdf,YES,YES,NO,1
